SaleID,Date,ProductID,CustomerID,StoreID,QuantitySold,UnitPrice,Discount,Cost
1,2023-05-06,1006,240,309,6,59.14,0.15,13.95
2,2023-05-10,1018,201,310,6,16.8,0.1,79.56
3,2023-02-22,1006,229,307,4,35.78,0.05,18.51
4,2023-06-21,1005,210,304,1,17.93,0.15,72.26
5,2023-08-06,1013,228,304,7,87.36,0.05,79.32
6,2023-06-09,1019,231,304,8,63.2,0.05,33.78
7,2023-07-17,1008,219,306,2,91.19,0.15,52.33
8,2023-09-04,1009,203,304,2,71.95,0.15,63.43
9,2023-11-20,1017,236,305,1,97.39,0.0,34.45
10,2023-07-22,1003,243,309,4,55.89,0.0,17.14
11,2023-07-03,1019,215,307,6,67.48,0.05,37.53
12,2023-05-03,1011,233,308,5,61.87,0.15,62.89
13,2023-09-12,1017,241,305,4,53.58,0.1,63.56
14,2023-10-21,1019,243,305,4,86.14,0.1,22.29
15,2023-10-07,1002,245,307,7,68.01,0.05,18.12
16,2023-11-21,1008,226,308,7,82.12,0.0,74.04
17,2023-04-08,1019,216,309,2,80.77,0.15,8.3
18,2023-07-17,1007,236,302,7,27.19,0.15,60.11
19,2023-08-28,1017,233,303,2,68.51,0.0,8.48
20,2023-05-24,1006,220,302,4,27.97,0.15,67.84
21,2023-04-07,1019,213,310,1,62.5,0.05,72.91
22,2023-07-20,1006,233,307,5,70.97,0.15,27.31
23,2023-05-04,1002,205,302,1,99.75,0.15,10.55
24,2023-07-06,1006,237,302,4,12.75,0.0,41.05
25,2023-11-22,1005,214,302,9,18.21,0.0,27.38
26,2023-12-15,1019,227,304,8,16.93,0.1,36.29
27,2023-09-16,1020,223,301,6,45.85,0.05,54.87
28,2023-05-28,1004,214,302,8,83.94,0.0,20.74
29,2023-09-09,1017,240,303,5,85.97,0.0,31.77
30,2023-12-12,1011,204,307,7,76.33,0.0,63.69
31,2023-05-27,1004,239,310,8,90.72,0.15,53.28
32,2023-05-28,1013,219,301,7,39.06,0.05,29.47
33,2023-12-18,1020,247,306,4,17.93,0.05,54.82
34,2023-07-18,1017,204,303,5,15.23,0.15,62.4
35,2023-11-04,1009,230,303,6,86.69,0.15,49.44
36,2023-05-08,1004,219,304,6,75.74,0.0,22.96
37,2023-02-08,1014,231,304,9,72.88,0.1,5.02
38,2023-12-04,1019,231,307,2,40.57,0.1,65.21
39,2023-12-26,1003,209,303,6,44.19,0.05,66.7
40,2023-05-09,1014,213,308,3,96.23,0.1,57.32
41,2023-09-24,1008,214,308,2,15.74,0.0,10.74
42,2023-05-31,1001,246,307,6,79.64,0.15,48.89
43,2023-10-25,1010,210,302,4,37.87,0.05,66.58
44,2023-04-09,1018,248,305,5,13.51,0.05,34.23
45,2023-09-20,1016,231,306,5,76.83,0.15,19.85
46,2023-09-09,1008,237,310,3,39.78,0.1,49.07
47,2023-05-24,1001,223,304,4,74.99,0.05,66.97
48,2023-12-12,1012,227,310,3,73.69,0.15,8.67
49,2023-04-22,1008,206,305,7,58.13,0.15,49.77
50,2023-03-01,1016,226,309,1,79.96,0.1,53.24
51,2023-01-02,1018,202,307,6,62.29,0.1,50.18
52,2023-10-31,1004,245,302,4,35.8,0.0,53.75
53,2023-09-11,1006,213,301,1,76.07,0.1,52.35
54,2023-05-20,1012,250,302,1,63.02,0.1,14.78
55,2023-02-06,1009,219,303,5,11.15,0.15,22.62
56,2023-06-09,1015,201,302,5,91.15,0.05,51.42
57,2023-01-09,1016,240,303,7,59.11,0.15,6.33
58,2023-08-21,1012,232,310,4,88.18,0.0,52.61
59,2023-04-09,1014,222,309,9,89.45,0.15,54.9
60,2023-05-27,1013,248,304,4,50.05,0.0,22.94
61,2023-10-31,1002,229,309,7,55.69,0.1,49.86
62,2023-07-27,1003,202,303,5,47.42,0.05,45.06
63,2023-05-11,1010,240,301,5,50.45,0.05,24.55
64,2023-06-01,1009,238,305,6,90.56,0.15,39.72
65,2023-02-23,1020,248,310,8,80.93,0.05,73.22
66,2023-04-30,1008,211,310,5,21.39,0.0,37.0
67,2023-06-10,1010,217,302,3,64.93,0.0,52.24
68,2023-04-26,1019,243,304,6,99.63,0.1,7.65
69,2023-03-16,1003,208,302,2,63.6,0.15,10.84
70,2023-04-23,1005,222,302,8,80.73,0.1,11.1
71,2023-04-14,1003,204,303,8,79.22,0.05,63.37
72,2023-12-06,1016,211,305,3,41.53,0.1,31.27
73,2023-09-11,1017,208,304,8,43.47,0.05,22.07
74,2023-08-15,1015,209,302,9,75.17,0.0,61.05
75,2023-04-22,1003,226,310,5,55.0,0.15,17.75
76,2023-04-09,1012,202,302,5,61.35,0.15,23.49
77,2023-06-02,1009,216,306,6,74.16,0.1,37.32
78,2023-12-15,1012,231,307,7,79.98,0.05,29.86
79,2023-12-04,1015,206,310,3,34.44,0.0,48.9
80,2023-07-13,1002,221,306,5,23.21,0.05,30.34
81,2023-11-06,1018,226,307,1,36.26,0.1,34.47
82,2023-06-12,1020,219,301,5,55.68,0.05,69.72
83,2023-07-27,1012,228,306,4,40.79,0.0,71.34
84,2023-06-18,1004,208,303,1,61.15,0.1,67.08
85,2023-06-10,1016,214,301,7,14.81,0.0,69.86
86,2023-03-09,1016,224,308,1,55.88,0.1,47.73
87,2023-10-16,1001,248,304,8,43.12,0.15,53.47
88,2023-10-04,1002,244,310,2,58.12,0.05,46.79
89,2023-10-31,1003,237,308,5,48.03,0.0,63.92
90,2023-05-15,1020,226,310,6,35.58,0.0,46.33
91,2023-07-14,1017,231,304,9,91.37,0.05,13.33
92,2023-05-08,1020,232,304,7,26.63,0.0,65.72
93,2023-02-02,1001,250,310,6,71.32,0.0,62.04
94,2023-06-25,1020,241,304,5,93.22,0.0,66.52
95,2023-01-22,1006,202,306,6,58.48,0.15,19.28
96,2023-08-26,1015,225,309,4,88.88,0.0,25.37
97,2023-06-07,1014,244,305,1,21.24,0.15,27.18
98,2023-02-07,1020,202,310,9,54.44,0.05,43.11
99,2023-08-18,1015,242,308,5,51.13,0.15,15.04
100,2023-12-31,1014,201,308,8,10.73,0.0,33.9
101,2023-02-20,1005,236,304,7,49.89,0.0,18.66
102,2023-09-21,1006,212,310,8,43.21,0.0,24.86
103,2023-10-10,1017,209,309,1,70.28,0.15,57.98
104,2023-01-27,1011,236,309,9,94.45,0.1,69.11
105,2023-08-14,1016,241,305,1,17.72,0.1,6.72
106,2023-10-04,1012,228,306,3,39.47,0.05,47.44
107,2023-10-13,1015,238,305,8,49.97,0.05,7.7
108,2023-04-07,1004,233,303,1,50.97,0.05,11.39
109,2023-10-11,1018,242,308,1,79.73,0.0,57.88
110,2023-11-13,1003,246,309,6,49.91,0.1,60.17
111,2023-10-31,1008,222,304,5,12.44,0.1,66.05
112,2023-05-27,1003,225,309,6,73.91,0.05,40.57
113,2023-01-04,1008,218,309,3,89.63,0.1,69.49
114,2023-02-04,1018,206,307,6,56.25,0.05,17.51
115,2023-07-11,1010,218,308,2,62.3,0.0,23.73
116,2023-02-18,1020,216,303,8,24.66,0.1,15.09
117,2023-01-17,1017,215,305,6,29.86,0.0,64.82
118,2023-06-21,1008,248,303,4,31.17,0.0,22.15
119,2023-08-08,1011,208,307,4,48.77,0.1,16.66
120,2023-06-07,1005,213,306,7,93.53,0.15,51.73
121,2023-02-15,1013,243,303,3,56.96,0.05,10.78
122,2023-01-06,1005,207,309,3,27.29,0.1,8.37
123,2023-04-09,1013,217,301,6,33.95,0.0,13.0
124,2023-08-21,1006,250,310,9,44.56,0.05,5.02
125,2023-02-06,1005,232,303,1,66.09,0.0,57.27
126,2023-10-07,1009,222,310,5,49.6,0.05,47.17
127,2023-12-15,1016,213,307,1,45.32,0.1,20.74
128,2023-10-29,1002,247,303,1,60.83,0.0,22.48
129,2023-06-30,1001,223,303,3,31.77,0.05,65.82
130,2023-04-05,1008,229,302,3,17.1,0.05,42.64
131,2023-04-09,1019,222,309,4,12.2,0.1,57.39
132,2023-07-07,1011,201,304,3,32.61,0.05,38.96
133,2023-04-26,1012,229,310,6,18.24,0.05,22.83
134,2023-07-10,1012,248,306,4,40.27,0.0,77.78
135,2023-09-10,1007,205,302,8,79.56,0.1,47.42
136,2023-06-10,1013,235,309,1,74.47,0.1,14.82
137,2023-09-13,1008,210,307,8,64.98,0.0,35.46
138,2023-11-19,1009,219,310,1,86.73,0.15,29.7
139,2023-05-08,1007,237,305,1,35.39,0.0,21.06
140,2023-01-18,1015,207,307,7,89.65,0.0,75.01
141,2023-10-08,1002,246,304,1,45.93,0.15,71.07
142,2023-08-11,1020,235,310,9,46.08,0.05,19.94
143,2023-02-23,1012,245,307,8,46.48,0.1,31.41
144,2023-02-27,1001,213,302,1,18.83,0.1,62.17
145,2023-11-19,1008,210,307,2,97.79,0.15,20.64
146,2023-12-26,1005,202,304,2,22.47,0.1,49.37
147,2023-06-23,1015,206,304,2,40.68,0.15,57.48
148,2023-10-07,1001,208,301,6,38.74,0.05,54.05
149,2023-04-24,1001,236,303,4,16.72,0.15,57.98
150,2023-10-15,1010,225,305,8,23.7,0.1,58.0
151,2023-12-08,1010,244,305,1,14.04,0.1,77.36
152,2023-05-31,1015,247,302,4,36.32,0.15,30.99
153,2023-05-07,1017,240,304,5,88.0,0.1,70.89
154,2023-06-04,1006,207,301,9,40.55,0.15,6.64
155,2023-09-30,1003,246,309,5,21.13,0.1,26.62
156,2023-04-14,1013,223,301,3,68.11,0.0,8.65
157,2023-10-26,1016,219,306,4,99.69,0.05,53.84
158,2023-09-03,1008,246,307,7,30.91,0.1,12.56
159,2023-06-25,1015,222,303,1,35.16,0.1,68.43
160,2023-02-08,1017,213,301,6,97.47,0.1,53.49
161,2023-06-19,1017,221,307,8,26.09,0.15,7.16
162,2023-09-04,1013,201,303,1,56.01,0.1,58.61
163,2023-01-26,1017,219,310,8,31.57,0.15,69.65
164,2023-12-21,1006,233,306,7,93.91,0.1,54.58
165,2023-11-02,1017,204,306,1,98.34,0.0,7.29
166,2023-01-13,1016,242,304,9,83.32,0.0,69.34
167,2023-11-12,1014,203,306,3,38.33,0.05,59.93
168,2023-11-09,1013,227,310,2,46.31,0.15,33.38
169,2023-02-05,1006,241,304,7,31.81,0.05,29.65
170,2023-06-22,1003,235,308,3,90.17,0.1,40.99
171,2023-01-20,1014,228,309,1,92.31,0.1,70.03
172,2023-11-17,1014,206,302,3,47.7,0.0,23.9
173,2023-09-21,1015,206,307,6,69.09,0.05,12.57
174,2023-05-22,1008,244,309,3,24.9,0.1,69.85
175,2023-05-23,1015,223,309,5,49.14,0.1,6.97
176,2023-04-02,1013,233,305,9,66.83,0.15,73.32
177,2023-12-20,1017,216,301,7,44.69,0.1,27.93
178,2023-11-18,1003,224,306,2,42.18,0.05,43.12
179,2023-10-15,1006,205,308,1,10.09,0.0,14.92
180,2023-08-03,1005,241,301,7,82.39,0.0,72.67
181,2023-12-08,1017,242,302,4,90.04,0.1,61.24
182,2023-02-20,1002,213,301,7,97.25,0.1,74.31
183,2023-06-02,1015,247,305,6,74.73,0.1,56.24
184,2023-07-05,1005,212,302,7,59.39,0.15,18.85
185,2023-03-04,1020,205,310,4,34.24,0.1,28.12
186,2023-07-09,1006,237,310,3,99.94,0.1,41.51
187,2023-05-05,1006,231,304,5,63.08,0.15,50.54
188,2023-05-30,1018,228,301,3,71.3,0.05,74.48
189,2023-11-10,1018,228,307,3,71.42,0.15,33.8
190,2023-02-27,1004,230,308,4,86.07,0.0,57.73
191,2023-12-08,1017,218,305,8,10.87,0.15,77.08
192,2023-11-01,1014,244,302,2,29.82,0.15,16.43
193,2023-06-29,1014,227,308,4,69.9,0.05,69.7
194,2023-06-19,1013,235,301,3,90.56,0.05,36.55
195,2023-11-22,1007,226,307,7,71.68,0.1,59.93
196,2023-09-28,1012,239,301,2,47.21,0.15,27.02
197,2023-02-23,1015,249,306,1,42.54,0.05,30.05
198,2023-04-11,1019,218,306,1,76.42,0.0,7.03
199,2023-09-21,1011,233,305,6,76.71,0.1,77.86
200,2023-02-22,1015,225,302,3,64.64,0.15,66.01
201,2023-03-01,1012,231,302,7,36.23,0.0,12.04
202,2023-04-18,1003,237,309,8,93.26,0.05,79.96
203,2023-01-05,1017,202,305,5,59.67,0.1,50.38
204,2023-04-13,1003,233,305,5,81.14,0.0,69.03
205,2023-07-15,1019,239,307,2,29.29,0.15,10.0
206,2023-09-19,1020,243,306,8,40.96,0.0,34.21
207,2023-12-31,1004,243,302,1,88.71,0.1,55.22
208,2023-12-16,1003,232,301,9,14.51,0.15,12.98
209,2023-02-16,1016,218,305,1,56.11,0.15,41.67
210,2023-12-21,1012,217,304,1,53.35,0.0,38.2
211,2023-11-07,1008,234,303,1,77.61,0.1,21.2
212,2023-11-04,1017,239,302,7,35.37,0.15,27.52
213,2023-05-24,1007,207,310,4,29.72,0.1,77.53
214,2023-09-26,1011,242,302,7,93.35,0.05,26.65
215,2023-05-04,1018,235,304,5,61.45,0.0,21.01
216,2023-04-16,1001,230,302,7,19.42,0.1,45.22
217,2023-06-07,1003,212,304,7,27.37,0.05,55.32
218,2023-05-27,1004,235,303,4,99.89,0.05,59.38
219,2023-05-25,1013,211,309,2,27.6,0.1,61.57
220,2023-04-30,1006,244,307,8,64.94,0.1,7.76
221,2023-11-15,1014,204,303,2,47.81,0.0,34.53
222,2023-10-02,1005,225,308,9,89.7,0.0,63.05
223,2023-04-02,1016,248,309,5,77.97,0.15,72.86
224,2023-02-27,1015,232,307,9,63.73,0.0,50.17
225,2023-12-12,1015,220,306,9,10.97,0.1,8.92
226,2023-08-17,1004,250,304,8,89.18,0.15,34.75
227,2023-04-27,1008,231,305,8,50.02,0.05,10.57
228,2023-11-14,1016,204,308,4,93.84,0.05,61.14
229,2023-10-06,1016,238,303,4,54.6,0.1,9.76
230,2023-05-07,1004,247,302,2,72.48,0.15,18.93
231,2023-05-09,1013,201,303,4,16.24,0.15,36.27
232,2023-02-27,1013,203,307,4,77.06,0.0,39.7
233,2023-05-02,1002,237,308,6,40.42,0.05,35.49
234,2023-01-01,1003,222,301,3,41.62,0.05,39.75
235,2023-08-27,1008,217,307,2,20.68,0.0,58.49
236,2023-10-17,1015,214,309,8,23.22,0.05,32.7
237,2023-04-06,1011,241,303,2,26.72,0.0,46.08
238,2023-05-06,1009,235,303,8,39.54,0.05,27.75
239,2023-04-28,1007,213,308,7,90.28,0.05,31.52
240,2023-02-17,1013,235,304,3,43.14,0.05,51.03
241,2023-03-30,1002,243,308,6,75.19,0.0,41.79
242,2023-08-25,1008,202,305,6,17.45,0.05,59.23
243,2023-09-29,1007,247,303,5,63.2,0.05,47.04
244,2023-07-08,1012,213,304,8,53.37,0.15,65.27
245,2023-07-11,1019,216,304,5,98.02,0.05,38.26
246,2023-03-10,1007,218,308,7,86.16,0.1,41.83
247,2023-10-05,1010,207,306,6,50.93,0.05,55.25
248,2023-12-15,1016,245,307,7,79.76,0.05,21.59
249,2023-09-04,1003,236,309,9,27.37,0.15,33.94
250,2023-03-17,1010,241,306,3,60.61,0.15,51.86
251,2023-06-03,1006,230,303,7,16.72,0.0,7.17
252,2023-05-24,1018,242,303,3,41.33,0.0,37.77
253,2023-03-27,1018,241,303,2,30.33,0.1,49.91
254,2023-07-04,1005,207,310,7,74.7,0.15,77.55
255,2023-10-12,1007,215,302,4,54.11,0.0,70.78
256,2023-08-08,1002,240,301,1,77.6,0.0,26.06
257,2023-03-10,1011,219,310,6,56.38,0.0,43.04
258,2023-02-16,1013,243,301,6,17.78,0.15,9.23
259,2023-04-04,1005,237,304,6,76.18,0.15,23.06
260,2023-08-26,1006,202,303,2,84.99,0.1,63.11
261,2023-07-23,1014,242,305,1,91.32,0.15,14.25
262,2023-08-06,1012,248,309,3,61.48,0.15,24.33
263,2023-12-07,1004,213,308,2,77.82,0.15,75.8
264,2023-02-08,1006,240,309,6,77.68,0.1,66.79
265,2023-04-10,1010,241,305,6,24.02,0.05,63.64
266,2023-10-16,1018,243,308,5,24.78,0.05,69.84
267,2023-09-11,1015,243,304,5,16.38,0.0,61.22
268,2023-08-10,1008,231,305,9,38.79,0.05,14.04
269,2023-12-23,1009,216,303,5,52.62,0.05,43.74
270,2023-01-23,1005,242,305,6,99.81,0.1,38.32
271,2023-09-07,1010,244,303,4,48.79,0.1,28.34
272,2023-01-10,1020,206,305,1,75.36,0.05,67.55
273,2023-09-03,1006,228,305,4,72.41,0.05,39.81
274,2023-11-21,1016,232,306,2,28.4,0.05,9.52
275,2023-04-10,1003,244,309,3,15.27,0.0,25.62
276,2023-10-17,1010,210,301,7,59.14,0.1,22.15
277,2023-06-29,1011,250,310,7,73.03,0.05,71.56
278,2023-08-11,1011,218,306,1,99.84,0.15,53.56
279,2023-09-07,1017,204,301,8,42.27,0.05,47.03
280,2023-05-27,1004,209,306,7,90.67,0.15,43.0
281,2023-04-06,1004,207,302,1,44.37,0.0,53.76
282,2023-09-14,1017,250,308,8,72.05,0.15,61.62
283,2023-11-21,1009,208,303,2,63.84,0.1,46.58
284,2023-01-04,1019,243,310,8,14.77,0.0,75.37
285,2023-01-16,1005,207,306,3,17.05,0.0,78.26
286,2023-10-07,1006,241,306,7,11.87,0.05,79.65
287,2023-12-02,1003,240,304,6,43.38,0.0,55.2
288,2023-09-04,1001,203,305,5,77.12,0.0,74.95
289,2023-09-15,1020,217,302,2,25.55,0.15,35.34
290,2023-06-09,1016,202,310,2,64.53,0.05,69.47
291,2023-12-06,1011,215,310,1,35.99,0.1,73.19
292,2023-06-01,1013,246,308,9,81.73,0.05,72.81
